room_id,co2_level,co_level,rel_humid,ozone_level,pm_one,pm_two_five,pm_ten,param_temp,param_tvoc,heat_index,date_acquired
802,467,27,39,6,26,42,49,31,27,31,2024-04-21
801,318,26,54,13,14,60,29,22,10,31,2024-04-11
809,550,20,71,15,23,61,28,27,14,35,2024-04-28
812,371,17,49,0,30,15,9,31,0,33,2024-05-07
810,317,24,51,19,25,11,15,30,0,23,2024-05-10
808,577,15,41,13,40,38,47,33,21,22,2024-04-08
814,527,14,52,19,23,41,27,28,18,33,2024-04-11
807,365,21,59,1,18,37,12,21,2,29,2024-05-03
813,309,14,37,14,22,64,26,23,8,35,2024-05-05
809,321,16,80,22,6,32,37,20,18,24,2024-05-07
801,373,24,54,21,39,28,26,21,12,28,2024-05-03
804,348,26,35,18,37,16,40,26,18,24,2024-04-27
810,320,26,62,13,32,62,9,18,7,20,2024-05-04
806,473,19,38,18,16,26,19,20,0,32,2024-04-14
804,353,21,31,23,26,9,42,18,6,22,2024-05-11
803,482,14,49,22,31,17,16,22,0,31,2024-05-02
812,492,20,33,3,41,5,23,19,24,25,2024-05-02
801,451,25,57,23,29,53,15,20,25,35,2024-05-03
805,375,20,71,13,10,35,40,34,11,28,2024-04-21
813,432,20,77,8,18,51,15,25,16,31,2024-04-10
807,486,15,67,4,26,26,40,31,22,34,2024-04-28
808,455,21,33,17,9,33,23,19,2,26,2024-05-03
809,591,14,70,21,26,13,10,25,21,23,2024-04-16
803,501,20,38,18,5,64,15,28,27,23,2024-04-24
813,487,22,58,17,42,62,31,31,21,20,2024-04-22
811,571,21,53,20,26,45,33,27,17,33,2024-04-09
808,427,19,60,1,39,42,48,30,16,23,2024-04-11
805,360,26,53,17,26,13,40,29,3,28,2024-04-07
807,486,15,40,25,29,51,32,31,19,24,2024-04-27
812,589,20,41,16,41,25,5,18,4,27,2024-04-10
810,525,27,36,14,36,24,41,21,10,22,2024-04-14
807,416,22,79,3,24,14,53,22,29,25,2024-04-20
803,472,24,55,3,10,39,34,19,14,21,2024-04-17
805,407,16,35,16,43,7,38,20,5,23,2024-04-16
808,450,23,55,8,43,19,40,21,1,24,2024-04-22
813,530,15,66,9,32,27,8,18,6,31,2024-04-28
805,537,23,45,9,36,48,43,18,29,26,2024-05-10
810,587,18,36,0,17,17,12,30,1,23,2024-04-24
801,530,19,80,19,11,23,20,18,8,34,2024-04-30
804,519,24,55,24,18,63,31,21,6,30,2024-04-26
813,376,16,45,5,37,18,48,29,2,27,2024-04-30
812,576,15,39,12,16,46,8,25,3,31,2024-04-20
802,532,21,35,14,31,34,47,26,23,27,2024-05-09
810,392,26,51,4,42,57,49,20,8,33,2024-04-25
